geoid,landkreis,stadtkreis
10808435,Bodenseekreis,FALSE
10808436,Ravensburg,FALSE
10808437,Sigmaringen,FALSE
10809161,"Ingolstadt, Stadt",TRUE
10809162,"München, Stadt",TRUE
10809163,"Rosenheim, Stadt",TRUE
10809171,Altötting,FALSE
10809172,Berchtesgadener Land,FALSE
10809173,Bad Tölz-Wolfratshausen,FALSE
10809174,Dachau,FALSE
10809175,Ebersberg,FALSE
10809176,Eichstätt,FALSE
10809177,Erding,FALSE
10809178,Freising,FALSE
10809179,Fürstenfeldbruck,FALSE
10809180,Garmisch-Partenkirchen,FALSE
10809181,Landsberg a.Lech,FALSE
10809182,Miesbach,FALSE
10809183,Mühldorf a.Inn,FALSE
10809184,München,FALSE
10809185,Neuburg-Schrobenhausen,FALSE
10809186,Pfaffenhofen a.d.Ilm,FALSE
10809187,Rosenheim,FALSE
10809188,Starnberg,FALSE
10809189,Traunstein,FALSE
10809190,Weilheim-Schongau,FALSE
10809261,"Landshut, Stadt",TRUE
10809262,"Passau, Stadt",TRUE
10809263,"Straubing, Stadt",TRUE
10809271,Deggendorf,FALSE
10809272,Freyung-Grafenau,FALSE
10809273,Kelheim,FALSE
10809274,Landshut,FALSE
10809275,Passau,FALSE
10809276,Regen,FALSE
10809277,Rottal-Inn,FALSE
10809278,Straubing-Bogen,FALSE
10809279,Dingolfing-Landau,FALSE
10809361,"Amberg, Stadt",TRUE
10809362,"Regensburg, Stadt",TRUE
10809363,"Weiden i.d.OPf., Stadt",TRUE
10809371,Amberg-Sulzbach,FALSE
10809372,Cham,FALSE
10809373,Neumarkt i.d.OPf.,FALSE
10809374,Neustadt a.d.Waldnaab,FALSE
10809375,Regensburg,FALSE
10809376,Schwandorf,FALSE
10809377,Tirschenreuth,FALSE
10809461,"Bamberg, Stadt",TRUE
10809462,"Bayreuth, Stadt",TRUE
10809463,"Coburg, Stadt",TRUE
10809464,"Hof, Stadt",TRUE
10809471,Bamberg,FALSE
10809472,Bayreuth,FALSE
10809473,Coburg,FALSE
10809474,Forchheim,FALSE
10809475,Hof,FALSE
10809476,Kronach,FALSE
10809477,Kulmbach,FALSE
10809478,Lichtenfels,FALSE
10809479,Wunsiedel i.Fichtelgebirge,FALSE
10809561,"Ansbach, Stadt",TRUE
10809562,"Erlangen, Stadt",TRUE
10809563,"Fürth, Stadt",TRUE
10809564,"Nürnberg, Stadt",TRUE
10809565,"Schwabach, Stadt",TRUE
10809571,Ansbach,FALSE
10809572,Erlangen-Höchstadt,FALSE
10809573,Fürth,FALSE
10809574,Nürnberger Land,FALSE
10809575,Neustadt a.d.Aisch-Bad Windsheim,FALSE
10809576,Roth,FALSE
10809577,Weißenburg-Gunzenhausen,FALSE
10809661,"Aschaffenburg, Stadt",TRUE
10809662,"Schweinfurt, Stadt",TRUE
10809663,"Würzburg, Stadt",TRUE
10809671,Aschaffenburg,FALSE
10809672,Bad Kissingen,FALSE
10809673,Rhön-Grabfeld,FALSE
10809674,Haßberge,FALSE
10809675,Kitzingen,FALSE
10809676,Miltenberg,FALSE
10809677,Main-Spessart,FALSE
10809678,Schweinfurt,FALSE
10809679,Würzburg,FALSE
10809761,"Augsburg, Stadt",TRUE
10809762,"Kaufbeuren, Stadt",TRUE
10809763,"Kempten (Allgäu), Stadt",TRUE
10809764,"Memmingen, Stadt",TRUE
10809771,Aichach-Friedberg,FALSE
10809772,Augsburg,FALSE
10809773,Dillingen a.d.Donau,FALSE
10809774,Günzburg,FALSE
10809775,Neu-Ulm,FALSE
10809776,Lindau (Bodensee),FALSE
10809777,Ostallgäu,FALSE
10809778,Unterallgäu,FALSE
10809779,Donau-Ries,FALSE
10809780,Oberallgäu,FALSE
10810041,Stadtverband Saarbrücken,FALSE
10810042,Merzig-Wadern,FALSE
10810043,Neunkirchen,FALSE
10810044,Saarlouis,FALSE
10810045,Saar-Pfalz-Kreis,FALSE
10810046,St. Wendel,FALSE
108110,"Berlin, Stadt",FALSE
10811001,Berlin Mitte,FALSE
10811002,Berlin Friedrichshain-Kreuzberg,FALSE
10811003,Berlin Pankow,FALSE
10811004,Berlin Charlottenburg-Wilmersdorf,FALSE
10811005,Berlin Spandau,FALSE
10811006,Berlin Steglitz-Zehlendorf,FALSE
10811007,Berlin Tempelhof-Schöneberg,FALSE
10811008,Berlin Neukölln,FALSE
10811009,Berlin Treptow-Köpenick,FALSE
10811010,Berlin Marzahn-Hellersdorf,FALSE
10811011,Berlin Lichtenberg,FALSE
10811012,Berlin Reinickendorf,FALSE
10812051,"Brandenburg an der Havel, Stadt",FALSE
10812052,"Cottbus, Stadt",FALSE
10812053,"Frankfurt (Oder), Stadt",FALSE
10812054,"Potsdam, Stadt",FALSE
10812060,Barnim,FALSE
10812061,Dahme-Spreewald,FALSE
10812062,Elbe-Elster,FALSE
10812063,Havelland,FALSE
10812064,Märkisch-Oderland,FALSE
10812065,Oberhavel,FALSE
